concept1,concept2,color1,color2,deltaS_sample,deltaS_fit
safety,mango,WH,MY,0.3916616116945042,0.3743988878358522
safety,justice,WH,MY,0.2782387194226288,0.2882743340578484
safety,sad,WH,MY,0.08279824513047407,0.08122881411603
safety,tree,WH,MY,0.4215485098710312,0.41702462478457947
safety,peach,WH,MY,0.3288376881527124,0.3261913567175796
safety,angry,WH,MY,0.2649058097357966,0.26901144009528677
safety,peace,WH,MY,0.27047908850566726,0.2727715540804674
safety,happy,WH,MY,0.20557384104572662,0.20051380422592402
safety,lightning,WH,MY,0.03372320333316159,0.03262648172734228
safety,death,WH,MY,0.14063305649648727,0.14412331382023436
safety,banana,WH,MY,0.4810148640758207,0.4793078043093386
safety,sandstorm,WH,MY,0.3659690171996033,0.36416913942545226
mango,justice,WH,MY,0.6321967201173588,0.6392849891478882
mango,sad,WH,MY,0.3291500790928591,0.31385216855095754
mango,tree,WH,MY,0.028328294503368046,0.02703586950472614
mango,peach,WH,MY,0.06405231714134951,0.061598498652691513
mango,angry,WH,MY,0.17325769957553694,0.17044183726997697
mango,peace,WH,MY,0.6344257932974069,0.6257451004646765
mango,happy,WH,MY,0.5871786708423403,0.5607857486385937
mango,lightning,WH,MY,0.3650463163546165,0.34397878193310905
mango,death,WH,MY,0.5206576997847465,0.5211084761761051
mango,banana,WH,MY,0.13672402013324159,0.1323919578721493
mango,sandstorm,WH,MY,0.015868981031112117,0.015397552343995091
justice,sad,WH,MY,0.3658369977943099,0.3809851371292692
justice,tree,WH,MY,0.6591591299479242,0.6885895008773764
justice,peach,WH,MY,0.5770323007004932,0.6038789302460976
justice,angry,WH,MY,0.5428510045163486,0.5877352972314465
justice,peace,WH,MY,0.01482134375732147,0.01595983950810087
justice,happy,WH,MY,0.0858574628809623,0.08900105173986694
justice,lightning,WH,MY,0.3133809660048408,0.32071843344538853
justice,death,WH,MY,0.1428326892678744,0.15601509713846173
justice,banana,WH,MY,0.6892650535570879,0.7178442619940637
justice,sandstorm,WH,MY,0.5888572958698062,0.6124363468743101
sad,tree,WH,MY,0.36091814866173344,0.35779744407160496
sad,peach,WH,MY,0.26227193085417433,0.2607880207056741
sad,angry,WH,MY,0.18819451495850514,0.1923396875311465
sad,peace,WH,MY,0.36052399483227826,0.36492562297821207
sad,happy,WH,MY,0.2966533402649034,0.28979419013308205
sad,lightning,WH,MY,0.04892931360092079,0.04734913164012422
sad,death,WH,MY,0.22768679366446043,0.23452222052719407
sad,banana,WH,MY,0.4292723294549774,0.4288506719777019
sad,sandstorm,WH,MY,0.3069940044039643,0.3061779985514752
tree,peach,WH,MY,0.09281088875003374,0.09322484125321051
tree,angry,WH,MY,0.20734883795371206,0.2157034591182344
tree,peace,WH,MY,0.6623500288119428,0.6748402351512739
tree,happy,WH,MY,0.6167189870079803,0.6084613135256728
tree,lightning,WH,MY,0.39556451251845126,0.385789372672539
tree,death,WH,MY,0.5498324106648715,0.5705137869073242
tree,banana,WH,MY,0.11361195592067319,0.1146783867779193
tree,sandstorm,WH,MY,0.008453905043943277,0.008504781613699053
peach,angry,WH,MY,0.10048522303299245,0.10441009071886131
peach,peace,WH,MY,0.5775349625779819,0.5895390975338525
peach,happy,WH,MY,0.5269028259797273,0.5210748975616077
peach,lightning,WH,MY,0.3008064208546407,0.29444031972076434
peach,death,WH,MY,0.46038279212049493,0.47816350438489374
peach,banana,WH,MY,0.19193965509082989,0.19401182040569442
