concept1,concept2,color1,color2,deltaS_sample,deltaS_fit
peace,banana,SG,A3,0.3425875670408649,0.32790683703596224
peace,sandstorm,SG,A3,0.2970075805380854,0.27308948127150123
happy,lightning,SG,A3,0.8109477010132695,0.8087137998795755
happy,death,SG,A3,0.7893459828000542,0.7654721639590829
happy,banana,SG,A3,0.3263364834219762,0.31747910675386937
happy,sandstorm,SG,A3,0.785230136675533,0.748847388613878
lightning,death,SG,A3,0.10857449269109676,0.11449389462125181
lightning,banana,SG,A3,0.7490773674196514,0.8026757686709869
lightning,sandstorm,SG,A3,0.18021384526970197,0.18630373657277244
death,banana,SG,A3,0.7188948654412504,0.7429422984894694
death,sandstorm,SG,A3,0.07129579957086074,0.0694976791137143
banana,sandstorm,SG,A3,0.7155542360208318,0.724828122204801
sick,safety,SG,LG,0.06932771308601349,0.06483998237887367
sick,mango,SG,LG,0.07317243368906834,0.07322298200282895
sick,justice,SG,LG,2.9573688954664945e-4,2.936771133249527e-4
sick,sad,SG,LG,0.09048653325726663,0.08894962841485676
sick,tree,SG,LG,0.3564706041005371,0.31720171532140573
sick,peach,SG,LG,0.06435862482726096,0.06364156802681786
sick,angry,SG,LG,0.03678829835223274,0.03600601126327496
sick,peace,SG,LG,0.21093012219261786,0.18958695940794712
sick,happy,SG,LG,0.029178960337344018,0.025922961222122343
