concept,color,weight,se,hex,barStroke,expCountry
safety,MC,0.3784,0.0395,#65acac,#65acac,usa
safety,MG,0.463,0.0461,#62ae88,#62ae88,usa
safety,MH,0.3322,0.0382,#a0b668,#a0b668,usa
safety,MO,0.2762,0.0405,#ce916c,#ce916c,usa
safety,MP,0.298,0.0419,#a66fbd,#a66fbd,usa
safety,MR,0.272,0.0381,#c5666b,#c5666b,usa
safety,MY,0.3212,0.0379,#dab572,#dab572,usa
safety,SB,0.5024,0.0468,#4fa7ef,#4fa7ef,usa
safety,SC,0.4002,0.0451,#27d1cd,#27d1cd,usa
safety,SG,0.507,0.0471,#04c981,#04c981,usa
safety,SH,0.39,0.0414,#bde638,#bde638,usa
safety,SO,0.4068,0.0494,#f89e2d,#f89e2d,usa
safety,SP,0.2808,0.0383,#b740da,#b740da,usa
safety,SR,0.3344,0.0497,#f03a52,#f03a52,usa
safety,SY,0.4586,0.0509,#fff329,#fff329,usa
safety,WH,0.51,0.0513,#ffffff,#000000,usa
sandstorm,A1,0.3454,0.0493,#656168,#656168,usa
sandstorm,A2,0.4254,0.0471,#9d97a0,#9d97a0,usa
sandstorm,A3,0.3636,0.042,#d8cfdb,#d8cfdb,usa
sandstorm,BK,0.3184,0.0454,#323033,#323033,usa
sandstorm,DB,0.078,0.0214,#386089,#386089,usa
sandstorm,DC,0.069,0.0193,#297375,#297375,usa
sandstorm,DG,0.068,0.0166,#21704f,#21704f,usa
sandstorm,DH,0.1458,0.0277,#677f35,#677f35,usa
sandstorm,DO,0.612,0.0385,#864d2b,#864d2b,usa
sandstorm,DP,0.0388,0.0124,#723484,#723484,usa
sandstorm,DR,0.199,0.0344,#8a2b38,#8a2b38,usa
sandstorm,DY,0.598,0.0421,#8a7527,#8a7527,usa
sandstorm,LB,0.0938,0.0242,#aacffb,#aacffb,usa
sandstorm,LC,0.095,0.0265,#9de5e4,#9de5e4,usa
sandstorm,LG,0.0802,0.0219,#95e2b8,#95e2b8,usa
sandstorm,LH,0.2318,0.0397,#dbf099,#dbf099,usa
sandstorm,LO,0.6782,0.0412,#fbc9a3,#fbc9a3,usa
sandstorm,LP,0.0498,0.0143,#dfa7fa,#dfa7fa,usa
sandstorm,LR,0.234,0.0413,#fc9fa3,#fc9fa3,usa
sandstorm,LY,0.5352,0.0445,#fff498,#fff498,usa
sandstorm,MB,0.1018,0.0238,#7196c0,#7196c0,usa
sandstorm,MC,0.0886,0.0209,#65acac,#65acac,usa
sandstorm,MG,0.0728,0.0188,#62ae88,#62ae88,usa
sandstorm,MH,0.1648,0.0329,#a0b668,#a0b668,usa
sandstorm,MO,0.7142,0.0349,#ce916c,#ce916c,usa
sandstorm,MP,0.049,0.0137,#a66fbd,#a66fbd,usa
sandstorm,MR,0.2128,0.0382,#c5666b,#c5666b,usa
sandstorm,MY,0.725,0.0442,#dab572,#dab572,usa
sandstorm,SB,0.0648,0.0205,#4fa7ef,#4fa7ef,usa
sandstorm,SC,0.0656,0.0189,#27d1cd,#27d1cd,usa
sandstorm,SG,0.043,0.0109,#04c981,#04c981,usa
sandstorm,SH,0.0922,0.0196,#bde638,#bde638,usa
sandstorm,SO,0.4428,0.0442,#f89e2d,#f89e2d,usa
sandstorm,SP,0.045,0.0153,#b740da,#b740da,usa
sandstorm,SR,0.0944,0.0251,#f03a52,#f03a52,usa
sandstorm,SY,0.2896,0.0441,#fff329,#fff329,usa
sandstorm,WH,0.254,0.042,#ffffff,#000000,usa
sick,A1,0.4512,0.0507,#656168,#656168,usa
sick,A2,0.4422,0.0477,#9d97a0,#9d97a0,usa
sick,A3,0.242,0.0399,#d8cfdb,#d8cfdb,usa
sick,BK,0.479,0.0509,#323033,#323033,usa
sick,DB,0.202,0.0371,#386089,#386089,usa
sick,DC,0.24,0.0365,#297375,#297375,usa
sick,DG,0.404,0.0477,#21704f,#21704f,usa
