concept,color,weight,se,hex,barStroke,expCountry
peach,MC,0.2574,0.043,#65acac,#65acac,mdg
peach,MG,0.4466,0.0493,#62ae88,#62ae88,mdg
peach,MH,0.359,0.0449,#a0b668,#a0b668,mdg
peach,MO,0.3246,0.0464,#ce916c,#ce916c,mdg
peach,MP,0.1904,0.0372,#a66fbd,#a66fbd,mdg
peach,MR,0.3786,0.0473,#c5666b,#c5666b,mdg
peach,MY,0.338,0.0459,#dab572,#dab572,mdg
peach,SB,0.2582,0.0456,#4fa7ef,#4fa7ef,mdg
peach,SC,0.2158,0.0389,#27d1cd,#27d1cd,mdg
peach,SG,0.5014,0.0562,#04c981,#04c981,mdg
peach,SH,0.3626,0.0474,#bde638,#bde638,mdg
peach,SO,0.3388,0.0486,#f89e2d,#f89e2d,mdg
peach,SP,0.2148,0.0379,#b740da,#b740da,mdg
peach,SR,0.445,0.0537,#f03a52,#f03a52,mdg
peach,SY,0.3614,0.0508,#fff329,#fff329,mdg
peach,WH,0.2372,0.043,#ffffff,#000000,mdg
sad,A1,0.6488,0.0458,#656168,#656168,mdg
sad,A2,0.621,0.0447,#9d97a0,#9d97a0,mdg
sad,A3,0.4436,0.0519,#d8cfdb,#d8cfdb,mdg
sad,BK,0.738,0.0462,#323033,#323033,mdg
sad,DB,0.225,0.0392,#386089,#386089,mdg
sad,DC,0.2568,0.0409,#297375,#297375,mdg
sad,DG,0.2636,0.0405,#21704f,#21704f,mdg
sad,DH,0.3196,0.0427,#677f35,#677f35,mdg
sad,DO,0.33,0.0408,#864d2b,#864d2b,mdg
sad,DP,0.4568,0.0516,#723484,#723484,mdg
sad,DR,0.331,0.0433,#8a2b38,#8a2b38,mdg
sad,DY,0.3724,0.0441,#8a7527,#8a7527,mdg
sad,LB,0.2766,0.0409,#aacffb,#aacffb,mdg
sad,LC,0.1978,0.0322,#9de5e4,#9de5e4,mdg
sad,LG,0.1734,0.0287,#95e2b8,#95e2b8,mdg
sad,LH,0.293,0.0415,#dbf099,#dbf099,mdg
sad,LO,0.2626,0.0384,#fbc9a3,#fbc9a3,mdg
sad,LP,0.373,0.0501,#dfa7fa,#dfa7fa,mdg
sad,LR,0.214,0.0352,#fc9fa3,#fc9fa3,mdg
sad,LY,0.2664,0.0428,#fff498,#fff498,mdg
sad,MB,0.239,0.0375,#7196c0,#7196c0,mdg
sad,MC,0.2448,0.0403,#65acac,#65acac,mdg
sad,MG,0.2232,0.0331,#62ae88,#62ae88,mdg
sad,MH,0.3458,0.0448,#a0b668,#a0b668,mdg
sad,MO,0.3254,0.0417,#ce916c,#ce916c,mdg
sad,MP,0.488,0.0518,#a66fbd,#a66fbd,mdg
sad,MR,0.3108,0.0406,#c5666b,#c5666b,mdg
sad,MY,0.2558,0.0363,#dab572,#dab572,mdg
sad,SB,0.1744,0.0323,#4fa7ef,#4fa7ef,mdg
sad,SC,0.2046,0.036,#27d1cd,#27d1cd,mdg
sad,SG,0.165,0.0311,#04c981,#04c981,mdg
sad,SH,0.1758,0.0326,#bde638,#bde638,mdg
sad,SO,0.2062,0.0355,#f89e2d,#f89e2d,mdg
sad,SP,0.397,0.0546,#b740da,#b740da,mdg
sad,SR,0.2424,0.0397,#f03a52,#f03a52,mdg
sad,SY,0.2104,0.0415,#fff329,#fff329,mdg
sad,WH,0.3678,0.0529,#ffffff,#000000,mdg
safety,A1,0.3688,0.0522,#656168,#656168,mdg
safety,A2,0.223,0.0368,#9d97a0,#9d97a0,mdg
safety,A3,0.4706,0.0541,#d8cfdb,#d8cfdb,mdg
safety,BK,0.3978,0.0537,#323033,#323033,mdg
safety,DB,0.3774,0.0531,#386089,#386089,mdg
safety,DC,0.3034,0.0465,#297375,#297375,mdg
safety,DG,0.3888,0.0507,#21704f,#21704f,mdg
safety,DH,0.3684,0.0519,#677f35,#677f35,mdg
safety,DO,0.2304,0.0428,#864d2b,#864d2b,mdg
safety,DP,0.214,0.0368,#723484,#723484,mdg
safety,DR,0.4026,0.0528,#8a2b38,#8a2b38,mdg
safety,DY,0.2718,0.0398,#8a7527,#8a7527,mdg
safety,LB,0.3254,0.047,#aacffb,#aacffb,mdg
safety,LC,0.3148,0.046,#9de5e4,#9de5e4,mdg
safety,LG,0.3512,0.0486,#95e2b8,#95e2b8,mdg
safety,LH,0.3446,0.048,#dbf099,#dbf099,mdg
safety,LO,0.2774,0.0427,#fbc9a3,#fbc9a3,mdg
safety,LP,0.2554,0.0441,#dfa7fa,#dfa7fa,mdg
safety,LR,0.3818,0.0464,#fc9fa3,#fc9fa3,mdg
safety,LY,0.3554,0.0493,#fff498,#fff498,mdg
safety,MB,0.3384,0.0506,#7196c0,#7196c0,mdg
safety,MC,0.3128,0.0457,#65acac,#65acac,mdg
safety,MG,0.3252,0.0474,#62ae88,#62ae88,mdg
safety,MH,0.3084,0.0433,#a0b668,#a0b668,mdg
safety,MO,0.258,0.0423,#ce916c,#ce916c,mdg
safety,MP,0.2388,0.0419,#a66fbd,#a66fbd,mdg
safety,MR,0.2926,0.0447,#c5666b,#c5666b,mdg
safety,MY,0.3096,0.0457,#dab572,#dab572,mdg
safety,SB,0.451,0.0548,#4fa7ef,#4fa7ef,mdg
safety,SC,0.38,0.0489,#27d1cd,#27d1cd,mdg
safety,SG,0.4418,0.0572,#04c981,#04c981,mdg
safety,SH,0.4042,0.053,#bde638,#bde638,mdg
safety,SO,0.3436,0.0485,#f89e2d,#f89e2d,mdg
safety,SP,0.2564,0.0417,#b740da,#b740da,mdg
safety,SR,0.4582,0.0589,#f03a52,#f03a52,mdg
safety,SY,0.3542,0.0498,#fff329,#fff329,mdg
safety,WH,0.4914,0.053,#ffffff,#000000,mdg
sandstorm,A1,0.4604,0.0528,#656168,#656168,mdg
sandstorm,A2,0.5138,0.0511,#9d97a0,#9d97a0,mdg
sandstorm,A3,0.3534,0.0495,#d8cfdb,#d8cfdb,mdg
sandstorm,BK,0.4714,0.0528,#323033,#323033,mdg
sandstorm,DB,0.1752,0.0302,#386089,#386089,mdg
sandstorm,DC,0.1816,0.0347,#297375,#297375,mdg
sandstorm,DG,0.1648,0.0324,#21704f,#21704f,mdg
sandstorm,DH,0.2462,0.0424,#677f35,#677f35,mdg
sandstorm,DO,0.5044,0.0503,#864d2b,#864d2b,mdg
sandstorm,DP,0.158,0.0344,#723484,#723484,mdg
sandstorm,DR,0.2612,0.0437,#8a2b38,#8a2b38,mdg
sandstorm,DY,0.455,0.0476,#8a7527,#8a7527,mdg
sandstorm,LB,0.1938,0.0293,#aacffb,#aacffb,mdg
sandstorm,LC,0.1726,0.0314,#9de5e4,#9de5e4,mdg
sandstorm,LG,0.1682,0.0317,#95e2b8,#95e2b8,mdg
sandstorm,LH,0.4296,0.0461,#dbf099,#dbf099,mdg
sandstorm,LO,0.5244,0.0571,#fbc9a3,#fbc9a3,mdg
sandstorm,LP,0.2246,0.0378,#dfa7fa,#dfa7fa,mdg
sandstorm,LR,0.2496,0.0383,#fc9fa3,#fc9fa3,mdg
sandstorm,LY,0.4286,0.0538,#fff498,#fff498,mdg
sandstorm,MB,0.2206,0.0401,#7196c0,#7196c0,mdg
sandstorm,MC,0.1328,0.0229,#65acac,#65acac,mdg
sandstorm,MG,0.1602,0.0296,#62ae88,#62ae88,mdg
sandstorm,MH,0.3214,0.0441,#a0b668,#a0b668,mdg
