country,concept_a,concept_b,color_1,color_2,A_to_C1,B_to_C2,A_to_C2,B_to_C1
MDG,angry,banana,DO,LP,0.3696,0.16240000000000002,0.28600000000000003,0.1568
MDG,angry,banana,DO,LR,0.3696,0.1704,0.29059999999999997,0.1568
MDG,angry,banana,DO,LY,0.3696,0.5138,0.1766,0.1568
MDG,angry,banana,DO,MB,0.3696,0.08839999999999999,0.2364,0.1568
MDG,angry,banana,DO,MC,0.3696,0.1772,0.23420000000000002,0.1568
MDG,angry,banana,DO,MG,0.3696,0.48519999999999996,0.22460000000000002,0.1568
MDG,angry,banana,DO,MH,0.3696,0.4936,0.2696,0.1568
MDG,angry,banana,DO,MO,0.3696,0.23099999999999998,0.23079999999999998,0.1568
MDG,angry,banana,DO,MP,0.3696,0.1404,0.1816,0.1568
MDG,angry,banana,DO,MR,0.3696,0.1646,0.3636,0.1568
MDG,angry,banana,DO,MY,0.3696,0.4714,0.20800000000000002,0.1568
MDG,angry,banana,DO,SB,0.3696,0.1002,0.1782,0.1568
MDG,angry,banana,DO,SC,0.3696,0.1442,0.2216,0.1568
MDG,angry,banana,DO,SG,0.3696,0.5318,0.18580000000000002,0.1568
MDG,angry,banana,DO,SH,0.3696,0.6356,0.247,0.1568
MDG,angry,banana,DO,SO,0.3696,0.424,0.3094,0.1568
MDG,angry,banana,DO,SP,0.3696,0.14859999999999998,0.252,0.1568
MDG,angry,banana,DO,SR,0.3696,0.16219999999999998,0.621,0.1568
MDG,angry,banana,DO,SY,0.3696,0.7812,0.3104,0.1568
MDG,angry,banana,DO,WH,0.3696,0.21359999999999998,0.1804,0.1568
MDG,angry,banana,DP,DR,0.26940000000000003,0.13140000000000002,0.6368,0.156
MDG,angry,banana,DP,DY,0.26940000000000003,0.3506,0.29960000000000003,0.156
MDG,angry,banana,DP,LB,0.26940000000000003,0.128,0.1918,0.156
MDG,angry,banana,DP,LC,0.26940000000000003,0.1574,0.2486,0.156
MDG,angry,banana,DP,LG,0.26940000000000003,0.3196,0.2164,0.156
MDG,angry,banana,DP,LH,0.26940000000000003,0.4714,0.2452,0.156
MDG,angry,banana,DP,LO,0.26940000000000003,0.2138,0.24719999999999998,0.156
MDG,angry,banana,DP,LP,0.26940000000000003,0.16240000000000002,0.28600000000000003,0.156
MDG,angry,banana,DP,LR,0.26940000000000003,0.1704,0.29059999999999997,0.156
MDG,angry,banana,DP,LY,0.26940000000000003,0.5138,0.1766,0.156
MDG,angry,banana,DP,MB,0.26940000000000003,0.08839999999999999,0.2364,0.156
MDG,angry,banana,DP,MC,0.26940000000000003,0.1772,0.23420000000000002,0.156
MDG,angry,banana,DP,MG,0.26940000000000003,0.48519999999999996,0.22460000000000002,0.156
MDG,angry,banana,DP,MH,0.26940000000000003,0.4936,0.2696,0.156
MDG,angry,banana,DP,MO,0.26940000000000003,0.23099999999999998,0.23079999999999998,0.156
MDG,angry,banana,DP,MP,0.26940000000000003,0.1404,0.1816,0.156
MDG,angry,banana,DP,MR,0.26940000000000003,0.1646,0.3636,0.156
MDG,angry,banana,DP,MY,0.26940000000000003,0.4714,0.20800000000000002,0.156
MDG,angry,banana,DP,SB,0.26940000000000003,0.1002,0.1782,0.156
MDG,angry,banana,DP,SC,0.26940000000000003,0.1442,0.2216,0.156
MDG,angry,banana,DP,SG,0.26940000000000003,0.5318,0.18580000000000002,0.156
MDG,angry,banana,DP,SH,0.26940000000000003,0.6356,0.247,0.156
MDG,angry,banana,DP,SO,0.26940000000000003,0.424,0.3094,0.156
MDG,angry,banana,DP,SP,0.26940000000000003,0.14859999999999998,0.252,0.156
MDG,angry,banana,DP,SR,0.26940000000000003,0.16219999999999998,0.621,0.156
MDG,angry,banana,DP,SY,0.26940000000000003,0.7812,0.3104,0.156
MDG,angry,banana,DP,WH,0.26940000000000003,0.21359999999999998,0.1804,0.156
MDG,angry,banana,DR,DY,0.6368,0.3506,0.29960000000000003,0.13140000000000002
MDG,angry,banana,DR,LB,0.6368,0.128,0.1918,0.13140000000000002
MDG,angry,banana,DR,LC,0.6368,0.1574,0.2486,0.13140000000000002
MDG,angry,banana,DR,LG,0.6368,0.3196,0.2164,0.13140000000000002
MDG,angry,banana,DR,LH,0.6368,0.4714,0.2452,0.13140000000000002
MDG,angry,banana,DR,LO,0.6368,0.2138,0.24719999999999998,0.13140000000000002
MDG,angry,banana,DR,LP,0.6368,0.16240000000000002,0.28600000000000003,0.13140000000000002
MDG,angry,banana,DR,LR,0.6368,0.1704,0.29059999999999997,0.13140000000000002
MDG,angry,banana,DR,LY,0.6368,0.5138,0.1766,0.13140000000000002
MDG,angry,banana,DR,MB,0.6368,0.08839999999999999,0.2364,0.13140000000000002
MDG,angry,banana,DR,MC,0.6368,0.1772,0.23420000000000002,0.13140000000000002
MDG,angry,banana,DR,MG,0.6368,0.48519999999999996,0.22460000000000002,0.13140000000000002
MDG,angry,banana,DR,MH,0.6368,0.4936,0.2696,0.13140000000000002
MDG,angry,banana,DR,MO,0.6368,0.23099999999999998,0.23079999999999998,0.13140000000000002
MDG,angry,banana,DR,MP,0.6368,0.1404,0.1816,0.13140000000000002
MDG,angry,banana,DR,MR,0.6368,0.1646,0.3636,0.13140000000000002
MDG,angry,banana,DR,MY,0.6368,0.4714,0.20800000000000002,0.13140000000000002
MDG,angry,banana,DR,SB,0.6368,0.1002,0.1782,0.13140000000000002
MDG,angry,banana,DR,SC,0.6368,0.1442,0.2216,0.13140000000000002
MDG,angry,banana,DR,SG,0.6368,0.5318,0.18580000000000002,0.13140000000000002
MDG,angry,banana,DR,SH,0.6368,0.6356,0.247,0.13140000000000002
