expCountry,concept,color,weight,se,hex,barStroke
usa,peach,LC,0.049,0.012,#9de5e4,#9de5e4
usa,peach,LG,0.135,0.026,#95e2b8,#95e2b8
usa,peach,LH,0.242,0.036,#dbf099,#dbf099
usa,peach,LO,0.776,0.038,#fbc9a3,#fbc9a3
usa,peach,LP,0.097,0.021,#dfa7fa,#dfa7fa
usa,peach,LR,0.704,0.039,#fc9fa3,#fc9fa3
usa,peach,LY,0.414,0.041,#fff498,#fff498
usa,peach,MB,0.05,0.013,#7196c0,#7196c0
usa,peach,MC,0.062,0.014,#65acac,#65acac
usa,peach,MG,0.173,0.033,#62ae88,#62ae88
usa,peach,MH,0.187,0.032,#a0b668,#a0b668
usa,peach,MO,0.789,0.034,#ce916c,#ce916c
usa,peach,MP,0.059,0.017,#a66fbd,#a66fbd
usa,peach,MR,0.563,0.047,#c5666b,#c5666b
usa,peach,MY,0.612,0.037,#dab572,#dab572
usa,peach,SB,0.051,0.013,#4fa7ef,#4fa7ef
usa,peach,SC,0.056,0.015,#27d1cd,#27d1cd
usa,peach,SG,0.122,0.028,#04c981,#04c981
usa,peach,SH,0.125,0.025,#bde638,#bde638
usa,peach,SO,0.631,0.04,#f89e2d,#f89e2d
usa,peach,SP,0.079,0.021,#b740da,#b740da
usa,peach,SR,0.189,0.032,#f03a52,#f03a52
usa,peach,SY,0.259,0.04,#fff329,#fff329
usa,peach,WH,0.111,0.029,#ffffff,#000000
usa,sad,A1,0.796,0.033,#656168,#656168
usa,sad,A2,0.703,0.039,#9d97a0,#9d97a0
usa,sad,A3,0.417,0.048,#d8cfdb,#d8cfdb
usa,sad,BK,0.795,0.041,#323033,#323033
usa,sad,DB,0.543,0.055,#386089,#386089
usa,sad,DC,0.385,0.04,#297375,#297375
usa,sad,DG,0.26,0.036,#21704f,#21704f
usa,sad,DH,0.278,0.039,#677f35,#677f35
usa,sad,DO,0.376,0.044,#864d2b,#864d2b
usa,sad,DP,0.291,0.041,#723484,#723484
usa,sad,DR,0.321,0.038,#8a2b38,#8a2b38
usa,sad,DY,0.44,0.043,#8a7527,#8a7527
usa,sad,LB,0.35,0.046,#aacffb,#aacffb
usa,sad,LC,0.257,0.039,#9de5e4,#9de5e4
usa,sad,LG,0.146,0.029,#95e2b8,#95e2b8
usa,sad,LH,0.135,0.026,#dbf099,#dbf099
usa,sad,LO,0.177,0.028,#fbc9a3,#fbc9a3
usa,sad,LP,0.172,0.031,#dfa7fa,#dfa7fa
usa,sad,LR,0.116,0.023,#fc9fa3,#fc9fa3
usa,sad,LY,0.121,0.022,#fff498,#fff498
usa,sad,MB,0.491,0.05,#7196c0,#7196c0
usa,sad,MC,0.343,0.043,#65acac,#65acac
usa,sad,MG,0.222,0.031,#62ae88,#62ae88
usa,sad,MH,0.29,0.036,#a0b668,#a0b668
usa,sad,MO,0.257,0.036,#ce916c,#ce916c
usa,sad,MP,0.213,0.031,#a66fbd,#a66fbd
usa,sad,MR,0.212,0.035,#c5666b,#c5666b
usa,sad,MY,0.237,0.034,#dab572,#dab572
usa,sad,SB,0.353,0.047,#4fa7ef,#4fa7ef
usa,sad,SC,0.215,0.038,#27d1cd,#27d1cd
usa,sad,SG,0.117,0.025,#04c981,#04c981
usa,sad,SH,0.106,0.019,#bde638,#bde638
usa,sad,SO,0.084,0.017,#f89e2d,#f89e2d
usa,sad,SP,0.129,0.026,#b740da,#b740da
usa,sad,SR,0.13,0.03,#f03a52,#f03a52
usa,sad,SY,0.063,0.019,#fff329,#fff329
usa,sad,WH,0.228,0.037,#ffffff,#000000
usa,safety,A1,0.223,0.041,#656168,#656168
usa,safety,A2,0.216,0.035,#9d97a0,#9d97a0
usa,safety,A3,0.327,0.042,#d8cfdb,#d8cfdb
usa,safety,BK,0.138,0.027,#323033,#323033
usa,safety,DB,0.434,0.047,#386089,#386089
usa,safety,DC,0.376,0.04,#297375,#297375
usa,safety,DG,0.491,0.047,#21704f,#21704f
usa,safety,DH,0.369,0.046,#677f35,#677f35
usa,safety,DO,0.205,0.032,#864d2b,#864d2b
usa,safety,DP,0.267,0.04,#723484,#723484
usa,safety,DR,0.343,0.043,#8a2b38,#8a2b38
usa,safety,DY,0.175,0.031,#8a7527,#8a7527
usa,safety,LB,0.415,0.048,#aacffb,#aacffb
usa,safety,LC,0.42,0.043,#9de5e4,#9de5e4
usa,safety,LG,0.429,0.045,#95e2b8,#95e2b8
usa,safety,LH,0.359,0.038,#dbf099,#dbf099
usa,safety,LO,0.333,0.039,#fbc9a3,#fbc9a3
usa,safety,LP,0.274,0.039,#dfa7fa,#dfa7fa
usa,safety,LR,0.341,0.04,#fc9fa3,#fc9fa3
usa,safety,LY,0.368,0.043,#fff498,#fff498
usa,safety,MB,0.425,0.042,#7196c0,#7196c0
usa,safety,MC,0.378,0.039,#65acac,#65acac
