concept_a,concept_b,color_a,color_b,deltaS_mg,deltaS_us,mg_level,us_level,category
happy,sick,SO,SP,0.5239915430885582,0.1024120764787626,high,low,MG_high__US_low
happy,sick,DH,SP,0.04046056850369251,0.8779321234544986,low,high,MG_low__US_high
happy,sick,LB,LG,0.019893784442190032,0.12467106275715634,low,low,MG_low__US_low
happy,tree,DH,LH,0.4912495363656204,0.8012407853111325,high,high,MG_high__US_high
happy,tree,A3,DR,0.33083284142174363,0.084783761159547,high,low,MG_high__US_low
happy,tree,DO,LG,0.04891624233290881,0.769967949397335,low,high,MG_low__US_high
happy,tree,LH,MB,0.023333816737031887,0.06739298986783826,low,low,MG_low__US_low
justice,lightning,DP,WH,0.3792950798681731,0.6237259046011179,high,high,MG_high__US_high
justice,lightning,A3,MY,0.3756064074257681,0.07886587138621426,high,low,MG_high__US_low
justice,lightning,LY,MG,0.06247673297077,0.6914809581010024,low,high,MG_low__US_high
justice,lightning,LG,MH,0.0744082087410296,0.0122786051989634,low,low,MG_low__US_low
justice,mango,A1,DY,0.4602921434063072,0.6431641556564847,high,high,MG_high__US_high
justice,mango,DO,SG,0.41094654877287073,0.14810467309906405,high,low,MG_high__US_low
justice,mango,DB,LH,0.06963264294655214,0.6701690843448866,low,high,MG_low__US_high
justice,mango,LY,MR,0.06942231015188943,0.08841936198649769,low,low,MG_low__US_low
justice,peace,DR,LO,0.34648736118369183,0.6191774383120496,high,high,MG_high__US_high
justice,peace,DO,LC,0.057603510533071445,0.6664864789378431,low,high,MG_low__US_high
justice,peace,SG,SH,0.06360012037364537,0.10662814442478141,low,low,MG_low__US_low
justice,peach,DY,WH,0.7104324116217167,0.710062654347738,high,high,MG_high__US_high
justice,peach,A2,A3,0.3516092228413461,0.08254252272860874,high,low,MG_high__US_low
justice,peach,LR,SY,0.08036575699978177,0.6764431867067509,low,high,MG_low__US_high
justice,peach,DC,DR,0.023833781934394338,0.07360615122542402,low,low,MG_low__US_low
justice,sad,A1,LY,0.5933710900393239,0.8234690087282135,high,high,MG_high__US_high
justice,sad,A3,DC,0.35619694900703713,0.09130364438599914,high,low,MG_high__US_low
justice,sad,LB,LR,0.03426374405921484,0.11776363574613008,low,low,MG_low__US_low
justice,safety,A1,WH,0.37526547989100045,0.05268333043642692,high,low,MG_high__US_low
justice,safety,BK,MH,0.033170006667047114,0.6072762361740027,low,high,MG_low__US_high
justice,safety,MC,MO,0.014276670321365703,0.009539063442915996,low,low,MG_low__US_low
justice,sandstorm,DO,SR,0.5940363728654015,0.759270196020386,high,high,MG_high__US_high
justice,sandstorm,DC,WH,0.3845825927256961,0.050089945430094485,high,low,MG_high__US_low
justice,sandstorm,DC,LY,0.0586109771700678,0.6579368850053562,low,high,MG_low__US_high
justice,sandstorm,SC,SP,0.017947109607381773,0.08615942323713699,low,low,MG_low__US_low
justice,sick,DY,SY,0.4022999948695518,0.7159734664691355,high,high,MG_high__US_high
justice,sick,A3,DC,0.38933888953377993,0.14486436532760605,high,low,MG_high__US_low
justice,sick,MH,SP,0.04843196011184303,0.7854653503186042,low,high,MG_low__US_high
justice,sick,DC,SP,0.01957229844033792,0.01706240472950432,low,low,MG_low__US_low
justice,tree,MH,SP,0.3769752483103346,0.876199337030892,high,high,MG_high__US_high
justice,tree,A3,DB,0.5055947580159186,0.006944694769490278,high,low,MG_high__US_low
justice,tree,BK,LH,0.016922965980526117,0.619125566537666,low,high,MG_low__US_high
justice,tree,SC,SP,0.06006753875276449,0.03630891115873697,low,low,MG_low__US_low
lightning,mango,BK,MH,0.48447950651727933,0.7254921876117515,high,high,MG_high__US_high
lightning,mango,DO,MG,0.4945115603788621,0.10274916038517995,high,low,MG_high__US_low
lightning,mango,DP,WH,0.049608872623462696,0.9711442932732803,low,high,MG_low__US_high
lightning,mango,LR,MR,0.04173970852261499,0.03723557147676493,low,low,MG_low__US_low
lightning,peace,MC,SR,0.35040587290760744,0.7030753497936346,high,high,MG_high__US_high
lightning,peace,MP,SG,0.40694188536867215,0.04817829842020305,high,low,MG_high__US_low
lightning,peace,LY,MG,0.05304657188604334,0.6417617976826839,low,high,MG_low__US_high
lightning,peace,LB,LP,0.07446736669123499,0.05681015542509199,low,low,MG_low__US_low
lightning,peach,MR,SG,0.38700825391185334,0.6762314913151539,high,high,MG_high__US_high
lightning,peach,LG,SP,0.3741429426649723,0.0898778497541915,high,low,MG_high__US_low
lightning,peach,LH,MO,0.05761344193769191,0.8991206623800576,low,high,MG_low__US_high
lightning,peach,MP,SP,0.05707139143689899,0.010039795582719613,low,low,MG_low__US_low
lightning,sad,BK,LO,0.49767986980089596,0.667121612134997,high,high,MG_high__US_high
lightning,sad,A2,DB,0.3648292983383925,0.03593586648412406,high,low,MG_high__US_low
lightning,sad,LH,MC,0.054837045008388985,0.7018604149510523,low,high,MG_low__US_high
lightning,sad,MH,MP,0.05368939060371547,0.11053827357430984,low,low,MG_low__US_low
lightning,safety,A2,MG,0.3630585008078955,0.6621532906683183,high,high,MG_high__US_high
lightning,safety,DP,SC,0.34915146502906547,0.051212907895690885,high,low,MG_high__US_low
lightning,safety,DR,SY,0.07826219456638683,0.5926539476734152,low,high,MG_low__US_high
lightning,safety,DP,MP,0.06007260989464758,0.06361657090128015,low,low,MG_low__US_low
lightning,sandstorm,DO,MR,0.43778568554110603,0.669966925024831,high,high,MG_high__US_high
lightning,sandstorm,A1,SP,0.37886411362061306,0.04273533131270546,high,low,MG_high__US_low
lightning,sandstorm,BK,DY,0.07421507892196932,0.5967458997557276,low,high,MG_low__US_high
lightning,sandstorm,DH,MH,0.045685544220214425,0.09608015603762876,low,low,MG_low__US_low
lightning,sick,DG,LY,0.33324930843260386,0.7365918874320023,high,high,MG_high__US_high
lightning,sick,MP,SO,0.3570562643462505,0.11973344589612123,high,low,MG_high__US_low
lightning,sick,DO,SP,0.025603229541540706,0.6759149080844604,low,high,MG_low__US_high
lightning,sick,DP,SP,0.05358993425850894,0.14062076696287468,low,low,MG_low__US_low
lightning,tree,DG,MR,0.7910585354998771,0.9968844214991563,high,high,MG_high__US_high
lightning,tree,DP,LH,0.38508031315980684,0.03488352611868267,high,low,MG_high__US_low
