concept_a,concept_b,category,color_a,color_b,deltaS_mg,deltaS_us
sad,sandstorm,MG_high__US_high,BK,SY,0.44763175969872737,0.8598798666052581
sad,tree,MG_high__US_high,BK,SY,0.6549725650400582,0.9702053632113479
angry,banana,MG_high__US_high,BK,WH,0.5754764496587255,0.698655995214639
angry,death,MG_low__US_low,BK,WH,0.011175552645368958,0.02300229861759512
angry,happy,MG_high__US_high,BK,WH,0.8771686813729314,0.929619578178424
angry,justice,MG_high__US_high,BK,WH,0.7680618373624162,0.7062265685437836
angry,lightning,MG_high__US_high,BK,WH,0.5035072926942079,0.9095801694937373
angry,mango,MG_high__US_high,BK,WH,0.5899785334318526,0.859744569184661
angry,peace,MG_high__US_high,BK,WH,0.8695353749256145,0.9671899902687491
angry,peach,MG_high__US_high,BK,WH,0.519033335975362,0.8826155619465039
angry,sad,MG_low__US_low,BK,WH,0.003225585445310708,0.08580440152100804
angry,safety,MG_high__US_high,BK,WH,0.49874179164805454,0.9116878410431006
angry,tree,MG_high__US_high,BK,WH,0.37229520157097307,0.7701083568444413
banana,death,MG_high__US_high,BK,WH,0.5793425572829407,0.7233918885477117
banana,happy,MG_high__US_high,BK,WH,0.6483751600050627,0.7121610381507013
banana,lightning,MG_low__US_high,BK,WH,0.03726759877263719,0.6678038759262304
banana,peace,MG_high__US_high,BK,WH,0.631881692414956,0.8444325604406544
banana,sad,MG_high__US_high,BK,WH,0.5578537702674906,0.7713560706840363
banana,safety,MG_low__US_high,BK,WH,0.03581419539943376,0.6632574457408589
death,happy,MG_high__US_high,BK,WH,0.8826840009357486,0.9377529611765245
death,justice,MG_high__US_high,BK,WH,0.7723784188863216,0.7220623421849663
death,lightning,MG_high__US_high,BK,WH,0.503165672592252,0.9185144671006669
death,mango,MG_high__US_high,BK,WH,0.5939415564466763,0.8796477966067091
death,peace,MG_high__US_high,BK,WH,0.8750087850836623,0.9719775459525621
death,peach,MG_high__US_high,BK,WH,0.5207461534006945,0.9001615220729067
death,sad,MG_low__US_low,BK,WH,0.007596582076168479,0.06352782747918195
death,safety,MG_high__US_high,BK,WH,0.49824446492653496,0.9208842684640808
death,tree,MG_high__US_high,BK,WH,0.3704055376463131,0.7928974515553804
happy,lightning,MG_high__US_low,BK,WH,0.5011361797262242,0.011449087933631807
happy,mango,MG_high__US_high,BK,WH,0.6203377109611161,0.6482517359039519
happy,peach,MG_high__US_high,BK,WH,0.6475862718932288,0.5888649254629252
happy,sad,MG_high__US_high,BK,WH,0.8652590535497342,0.9513708376477394
happy,safety,MG_high__US_low,BK,WH,0.49745048069176345,0.046001857894829856
happy,sandstorm,MG_high__US_high,BK,WH,0.6660002619554493,0.6143406603046031
happy,sick,MG_high__US_high,BK,WH,0.641108258693595,0.8018963333408662
happy,tree,MG_high__US_high,BK,WH,0.7709570656286191,0.6694066216297547
justice,mango,MG_high__US_low,BK,WH,0.4090645695781119,0.11175129145922996
justice,peach,MG_high__US_low,BK,WH,0.4520431249969463,0.048596154015691395
justice,sad,MG_high__US_high,BK,WH,0.7551748645382075,0.7549090502105023
lightning,mango,MG_low__US_high,BK,WH,0.011529789964344117,0.5923124483891706
lightning,sad,MG_high__US_high,BK,WH,0.49218389835448595,0.934180306866768
lightning,safety,MG_low__US_low,BK,WH,8.533360431072778e-4,0.03241756426057507
mango,peace,MG_high__US_high,BK,WH,0.6037117334630115,0.8210817839555233
mango,sad,MG_high__US_high,BK,WH,0.572645784270869,0.9121509301779143
mango,safety,MG_low__US_high,BK,WH,0.010385903687636144,0.585422811427569
peace,peach,MG_high__US_high,BK,WH,0.6324003998712178,0.7794707245099981
peace,sad,MG_high__US_high,BK,WH,0.8574833953346463,0.9793404616995625
peace,sandstorm,MG_high__US_high,BK,WH,0.6544737588506337,0.748059667716801
peace,sick,MG_high__US_high,BK,WH,0.6294847070384435,0.8844241097223202
peace,tree,MG_high__US_high,BK,WH,0.7581155841511891,0.820247333835483
peach,sad,MG_high__US_high,BK,WH,0.5035886041054758,0.9281380887351369
sad,safety,MG_high__US_high,BK,WH,0.48764452749115894,0.936797093961625
sad,tree,MG_high__US_high,BK,WH,0.35884443291117907,0.8346361152903814
sandstorm,tree,MG_low__US_low,BK,WH,0.001003894630192681,0.09111267448680072
angry,mango,MG_low__US_low,DB,DC,0.053681180670078765,0.12342122460820804
angry,peace,MG_low__US_low,DB,DC,0.03950373974109511,0.013656861042240731
