expCountry,concept,color,weight,se,hex,barStroke,con,concep
mdg,sad,LO,0.263,0.038,#fbc9a3,#fbc9a3,sad,sad
mdg,sad,LP,0.373,0.05,#dfa7fa,#dfa7fa,sad,sad
mdg,sad,LR,0.214,0.035,#fc9fa3,#fc9fa3,sad,sad
mdg,sad,LY,0.266,0.043,#fff498,#fff498,sad,sad
mdg,sad,MB,0.239,0.037,#7196c0,#7196c0,sad,sad
mdg,sad,MC,0.245,0.04,#65acac,#65acac,sad,sad
mdg,sad,MG,0.223,0.033,#62ae88,#62ae88,sad,sad
mdg,sad,MH,0.346,0.045,#a0b668,#a0b668,sad,sad
mdg,sad,MO,0.325,0.042,#ce916c,#ce916c,sad,sad
mdg,sad,MP,0.488,0.052,#a66fbd,#a66fbd,sad,sad
mdg,sad,MR,0.311,0.041,#c5666b,#c5666b,sad,sad
mdg,sad,MY,0.256,0.036,#dab572,#dab572,sad,sad
mdg,sad,SB,0.174,0.032,#4fa7ef,#4fa7ef,sad,sad
mdg,sad,SC,0.205,0.036,#27d1cd,#27d1cd,sad,sad
mdg,sad,SG,0.165,0.031,#04c981,#04c981,sad,sad
mdg,sad,SH,0.176,0.033,#bde638,#bde638,sad,sad
mdg,sad,SO,0.206,0.036,#f89e2d,#f89e2d,sad,sad
mdg,sad,SP,0.397,0.055,#b740da,#b740da,sad,sad
mdg,sad,SR,0.242,0.04,#f03a52,#f03a52,sad,sad
mdg,sad,SY,0.21,0.041,#fff329,#fff329,sad,sad
mdg,sad,WH,0.368,0.053,#ffffff,#000000,sad,sad
mdg,safety,A1,0.369,0.052,#656168,#656168,safety,safety
mdg,safety,A2,0.223,0.037,#9d97a0,#9d97a0,safety,safety
mdg,safety,A3,0.471,0.054,#d8cfdb,#d8cfdb,safety,safety
mdg,safety,BK,0.398,0.054,#323033,#323033,safety,safety
mdg,safety,DB,0.377,0.053,#386089,#386089,safety,safety
mdg,safety,DC,0.303,0.047,#297375,#297375,safety,safety
mdg,safety,DG,0.389,0.051,#21704f,#21704f,safety,safety
mdg,safety,DH,0.368,0.052,#677f35,#677f35,safety,safety
mdg,safety,DO,0.23,0.043,#864d2b,#864d2b,safety,safety
mdg,safety,DP,0.214,0.037,#723484,#723484,safety,safety
mdg,safety,DR,0.403,0.053,#8a2b38,#8a2b38,safety,safety
mdg,safety,DY,0.272,0.04,#8a7527,#8a7527,safety,safety
mdg,safety,LB,0.325,0.047,#aacffb,#aacffb,safety,safety
