country,concept_a,concept_b,color_1,color_2,A_to_C1,A_to_C2,B_to_C1,B_to_C2,mu_D,semantic_distance
usa,safety,tree,A1,BK,0.223,0.1376,0.0992,0.138,0.1242,0.2573
usa,sandstorm,sick,A1,BK,0.3454,0.3184,0.4512,0.479,0.0548,0.0631
usa,sandstorm,tree,A1,BK,0.3454,0.3184,0.0992,0.138,0.0658,0.1027
usa,sick,tree,A1,BK,0.4512,0.479,0.0992,0.138,0.011,0.0156
usa,angry,banana,A1,DB,0.3736,0.1306,0.0524,0.0426,0.2332,0.4462
usa,angry,death,A1,DB,0.3736,0.1306,0.775,0.2328,-0.2992,0.4276
usa,angry,happy,A1,DB,0.3736,0.1306,0.1012,0.3926,0.5344,0.6815
usa,angry,justice,A1,DB,0.3736,0.1306,0.302,0.4366,0.3776,0.4636
usa,angry,lightning,A1,DB,0.3736,0.1306,0.3756,0.1768,0.0442,0.0632
usa,angry,mango,A1,DB,0.3736,0.1306,0.0426,0.046,0.2464,0.47
usa,angry,peace,A1,DB,0.3736,0.1306,0.1886,0.5406,0.595,0.6996
usa,angry,peach,A1,DB,0.3736,0.1306,0.0288,0.051,0.2652,0.5023
usa,angry,sad,A1,DB,0.3736,0.1306,0.7964,0.5434,-0.01,0.0138
usa,angry,safety,A1,DB,0.3736,0.1306,0.223,0.4336,0.4536,0.5624
usa,angry,sandstorm,A1,DB,0.3736,0.1306,0.3454,0.078,-0.0244,0.0376
usa,angry,sick,A1,DB,0.3736,0.1306,0.4512,0.202,-0.0062,0.0085
usa,angry,tree,A1,DB,0.3736,0.1306,0.0992,0.1272,0.271,0.4658
usa,banana,death,A1,DB,0.0524,0.0426,0.775,0.2328,-0.5324,0.84
usa,banana,happy,A1,DB,0.0524,0.0426,0.1012,0.3926,0.3012,0.5637
usa,banana,justice,A1,DB,0.0524,0.0426,0.302,0.4366,0.1444,0.2339
usa,banana,lightning,A1,DB,0.0524,0.0426,0.3756,0.1768,-0.189,0.3499
usa,banana,mango,A1,DB,0.0524,0.0426,0.0426,0.046,0.0132,0.0814
usa,banana,peace,A1,DB,0.0524,0.0426,0.1886,0.5406,0.3618,0.59
usa,banana,peach,A1,DB,0.0524,0.0426,0.0288,0.051,0.032,0.2017
usa,banana,sad,A1,DB,0.0524,0.0426,0.7964,0.5434,-0.2432,0.4146
usa,banana,safety,A1,DB,0.0524,0.0426,0.223,0.4336,0.2204,0.3743
usa,banana,sandstorm,A1,DB,0.0524,0.0426,0.3454,0.078,-0.2576,0.5241
usa,banana,sick,A1,DB,0.0524,0.0426,0.4512,0.202,-0.2394,0.4098
usa,banana,tree,A1,DB,0.0524,0.0426,0.0992,0.1272,0.0378,0.1307
usa,death,happy,A1,DB,0.775,0.2328,0.1012,0.3926,0.8336,0.8878
usa,death,justice,A1,DB,0.775,0.2328,0.302,0.4366,0.6768,0.7398
usa,death,lightning,A1,DB,0.775,0.2328,0.3756,0.1768,0.3434,0.4698
usa,death,mango,A1,DB,0.775,0.2328,0.0426,0.046,0.5456,0.8518
usa,death,peace,A1,DB,0.775,0.2328,0.1886,0.5406,0.8942,0.8869
usa,death,peach,A1,DB,0.775,0.2328,0.0288,0.051,0.5644,0.8666
usa,death,sad,A1,DB,0.775,0.2328,0.7964,0.5434,0.2892,0.3883
