concept_a,concept_b,color_a,color_b,deltaS_mg,deltaS_us,mg_level,us_level,category,extremeness
lightning,mango,SG,WH,0.7018800400967695,0.9756327833997867,high,high,MG_high__US_high,1.6775128234965562
lightning,mango,DR,SG,0.7154400082314285,0.04374969480146035,high,low,MG_high__US_low,0.6716903134299681
lightning,mango,DR,WH,0.0026943232714251586,0.9675118895970853,low,high,MG_low__US_high,0.9648175663256602
lightning,mango,LP,SP,0.011015488263055706,0,low,low,MG_low__US_low,-0.011015488263055706
lightning,peace,BK,SG,0.49326284210860627,0.796341789009418,high,high,MG_high__US_high,1.2896046311180243
lightning,peace,A3,DR,0.5624116436984066,0.04188904602626886,high,low,MG_high__US_low,0.5205225976721377
lightning,peace,LR,SY,0.006703397098466901,0.7705938364549705,low,high,MG_low__US_high,0.7638904393565036
lightning,peace,DC,LP,0.005827351863434804,0.01225876580495222,low,low,MG_low__US_low,-0.018086117668387025
lightning,peach,SG,WH,0.6094262817486218,0.9700537982416584,high,high,MG_high__US_high,1.5794800799902802
lightning,peach,SG,SR,0.44367228246097973,0.06426312332334971,high,low,MG_high__US_low,0.37940915913763
lightning,peach,MO,SY,0.005016722126978124,0.9736053614564879,low,high,MG_low__US_high,0.9685886393295098
lightning,peach,LY,SB,0.02250894847355095,0.011011400864674892,low,low,MG_low__US_low,-0.03352034933822584
lightning,sad,BK,SY,0.5479659637567487,0.9599612184867101,high,high,MG_high__US_high,1.5079271822434588
lightning,sad,BK,DB,0.545641227728755,0.06769120013875951,high,low,MG_high__US_low,0.4779500275899955
lightning,sad,DB,SY,0.007933191776507309,0.9493447997900073,low,high,MG_low__US_high,0.9414116080135
lightning,sad,DG,DP,0.022969609444397632,0.019128213809110284,low,low,MG_low__US_low,-0.042097823253507916
lightning,safety,A2,SG,0.5276762505501158,0.6888521130391672,high,high,MG_high__US_high,1.216528363589283
lightning,safety,DP,SC,0.34915146502906547,0.051212907895690885,high,low,MG_high__US_low,0.2979385571333746
lightning,safety,BK,DC,0.00774721567045189,0.7320893206501278,low,high,MG_low__US_high,0.7243421049796759
lightning,safety,DO,SO,7.345829347429333e-4,0.032219139882650405,low,low,MG_low__US_low,-0.03295372281739334
lightning,sandstorm,MO,SR,0.6098781972833289,0.906338015603265,high,high,MG_high__US_high,1.516216212886594
lightning,sandstorm,BK,SR,0.46110973068628175,0.02117176072708027,high,low,MG_high__US_low,0.4399379699592015
lightning,sandstorm,DC,WH,0.0022141623769669216,0.833166608035601,low,high,MG_low__US_high,0.8309524456586341
lightning,sandstorm,DR,MR,0.008902058934154189,0.006055973510569912,low,low,MG_low__US_low,-0.014958032444724101
lightning,sick,DH,SY,0.35260967377452235,0.9483525243869773,high,high,MG_high__US_high,1.3009621981614996
lightning,sick,A1,SO,0.5126822427107389,0.0998987739410539,high,low,MG_high__US_low,0.412783468769685
lightning,sick,DY,WH,0.03304121675894528,0.9884924558891997,low,high,MG_low__US_high,0.9554512391302543
lightning,sick,LH,SP,0.017821181344238435,0.0018667048397185138,low,low,MG_low__US_low,-0.01968788618395695
lightning,tree,DG,DP,0.8758151473901932,0.9999775066957208,high,high,MG_high__US_high,1.875792654085914
lightning,tree,DO,SG,0.5138595527649119,0.04807561592656828,high,low,MG_high__US_low,0.4657839368383436
lightning,tree,DP,WH,0.023786499280971096,0.951748238091541,low,high,MG_low__US_high,0.9279617388105699
lightning,tree,LH,MY,7.161722465189868e-4,0.022352172121375524,low,low,MG_low__US_low,-0.02306834436789451
mango,peace,A3,SO,0.7584965690774652,0.9384657325645458,high,high,MG_high__US_high,1.696962301642011
mango,peace,A3,DB,0.6090673624456231,0.02890691679884383,high,low,MG_high__US_low,0.5801604456467793
mango,peace,A1,SB,0.011167533248291228,0.8753967685552813,low,high,MG_low__US_high,0.86422923530699
mango,peace,DR,MR,0.03769466953215478,5.672598453838607e-4,low,low,MG_low__US_low,-0.03826192937753864
mango,peach,LR,SY,0.49427812761946793,0.5931388529405948,high,high,MG_high__US_high,1.0874169805600626
mango,peach,DR,SO,0.47150665396591407,0.052136255103611084,high,low,MG_high__US_low,0.419370398862303
mango,peach,DR,LR,0.007699210859022809,0.5840580873144758,low,high,MG_low__US_high,0.576358876455453
mango,peach,MH,SG,0.018218078218477318,0.00594464790205157,low,low,MG_low__US_low,-0.024162726120528888
mango,sad,BK,SY,0.9254553306534228,0.993228143149723,high,high,MG_high__US_high,1.9186834738031457
mango,sad,DG,SP,0.6144544152501508,0.07051807220851147,high,low,MG_high__US_low,0.5439363430416393
mango,sad,DG,SO,0.02804609279929199,0.9102655367336037,low,high,MG_low__US_high,0.8822194439343116
mango,sad,DO,WH,0.0036412398966285675,0.042099468580104604,low,low,MG_low__US_low,-0.04574070847673317
mango,safety,SB,SO,0.5181505626187553,0.884304161613952,high,high,MG_high__US_high,1.4024547242327072
mango,safety,A3,DG,0.5318328720469916,0.009778889381141909,high,low,MG_high__US_low,0.5220539826658497
mango,safety,DG,SO,0.011840278247874314,0.7360085137939394,low,high,MG_low__US_high,0.724168235546065
mango,safety,DB,MB,2.564307119374276e-4,0.006907690992931537,low,low,MG_low__US_low,-0.007164121704868964
mango,sandstorm,A2,SG,0.7963618168111817,0.8096428447777213,high,high,MG_high__US_high,1.606004661588903
mango,sandstorm,LR,SG,0.5730481453717453,0.013897615373956063,high,low,MG_high__US_low,0.5591505299977892
mango,sandstorm,DG,SG,0.0040202205555766035,0.012278736387090594,low,low,MG_low__US_low,-0.016298956942667198
mango,sick,A1,SO,0.8484646933637838,0.9179922462023276,high,high,MG_high__US_high,1.7664569395661114
mango,sick,DP,SG,0.6486647144707369,0.041568767414018826,high,low,MG_high__US_low,0.6070959470567181
