concept_a,concept_b,category,color_a,color_b,deltaS_mg,deltaS_us,extremeness
lightning,safety,MG_low__US_low,DO,SO,7.345829347429333e-4,0.032219139882650405,-0.03295372281739334
lightning,safety,MG_low__US_low,BK,WH,8.533360431072778e-4,0.03241756426057507,-0.03327090030368235
lightning,safety,MG_low__US_low,DY,MY,0.015471633208341995,0.018368250829865485,-0.03383988403820748
lightning,safety,MG_low__US_low,SP,SR,0.010187731716981396,0.026880561798082514,-0.03706829351506391
lightning,safety,MG_low__US_low,DR,LC,0.0046821184980523345,0.0348642702117925,-0.03954638870984484
lightning,sandstorm,MG_high__US_high,MO,SR,0.6098781972833289,0.906338015603265,1.516216212886594
lightning,sandstorm,MG_high__US_high,MO,SB,0.5505207453171099,0.931752110645166,1.482272855962276
lightning,sandstorm,MG_high__US_high,DP,MO,0.5329328964758411,0.9345009175865346,1.4674338140623757
lightning,sandstorm,MG_high__US_high,DO,SR,0.5888120951116116,0.8539200560026885,1.4427321511143
lightning,sandstorm,MG_high__US_high,MO,SP,0.5060023071503652,0.9327030422821225,1.4387053494324877
lightning,sandstorm,MG_high__US_low,BK,SR,0.46110973068628175,0.02117176072708027,0.4399379699592015
lightning,sandstorm,MG_high__US_low,A1,SR,0.50232699503978,0.07178759099446097,0.430539404045319
lightning,sandstorm,MG_high__US_low,LH,SB,0.4076423201397896,6.4945010608769e-4,0.40699287003370194
lightning,sandstorm,MG_high__US_low,LY,SR,0.4025924225198598,3.030128784961561e-4,0.40228940964136367
lightning,sandstorm,MG_high__US_low,A1,DP,0.4110788880045919,0.029822537459372744,0.38125635054521917
lightning,sandstorm,MG_low__US_high,DC,WH,0.0022141623769669216,0.833166608035601,0.8309524456586341
lightning,sandstorm,MG_low__US_high,MG,WH,0.043308715359144045,0.8426950328727421,0.799386317513598
lightning,sandstorm,MG_low__US_high,DG,WH,0.06827195833999561,0.8583450139764559,0.7900730556364604
lightning,sandstorm,MG_low__US_high,LP,WH,0.016354956559761435,0.7853518830649471,0.7689969265051857
lightning,sandstorm,MG_low__US_high,LR,WH,0.05448067963326264,0.8220903810138676,0.7676097013806049
lightning,sandstorm,MG_low__US_low,DR,MR,0.008902058934154189,0.006055973510569912,-0.014958032444724101
lightning,sandstorm,MG_low__US_low,LG,LP,0.005782971737946951,0.01182339041078645,-0.0176063621487334
lightning,sandstorm,MG_low__US_low,DB,LC,0.02363727635030527,0.007631764806335151,-0.03126904115664042
lightning,sandstorm,MG_low__US_low,LR,MR,0.03229108026504934,0.00239497134288319,-0.03468605160793253
lightning,sandstorm,MG_low__US_low,DR,LR,0.04030053346815854,0.003295595557507136,-0.043596129025665675
lightning,sick,MG_high__US_high,DH,SY,0.35260967377452235,0.9483525243869773,1.3009621981614996
lightning,sick,MG_high__US_high,DH,SO,0.48787177818962674,0.79807234575914765,1.2859441239487743
lightning,sick,MG_high__US_high,DH,LY,0.3527374097192353,0.9114800917649879,1.2642175014842232
lightning,sick,MG_high__US_high,MG,SY,0.3460072955474649,0.8112872339623047,1.1572945295097696
lightning,sick,MG_high__US_high,DG,SY,0.3323599344749515,0.8148457620905847,1.1472056965655362
lightning,sick,MG_high__US_low,A1,SO,0.5126822427107389,0.0998987739410539,0.412783468769685
lightning,sick,MG_high__US_low,BK,SO,0.4776495492405697,0.12785225003001877,0.3497972992105509
lightning,sick,MG_high__US_low,LP,SO,0.4035769744678022,0.055525918428118715,0.3480510560396835
lightning,sick,MG_high__US_low,MB,SO,0.34959918522559263,0.0031516639442457084,0.3464475212813469
lightning,sick,MG_high__US_low,SC,SO,0.3942095361263085,0.052442050951765795,0.3417674851745427
lightning,sick,MG_low__US_high,DY,WH,0.03304121675894528,0.9884924558891997,0.9554512391302543
lightning,sick,MG_low__US_high,DR,WH,0.007974918179040724,0.9443585773521419,0.9363836591731012
lightning,sick,MG_low__US_high,DO,WH,0.0519139319468262,0.9660408146922486,0.9141268827454223
lightning,sick,MG_low__US_high,DC,WH,0.027194954138946625,0.9335327150902126,0.906337760951266
lightning,sick,MG_low__US_high,MO,WH,0.021892563661943365,0.9267228358317452,0.9048302721698018
lightning,sick,MG_low__US_low,LH,SP,0.017821181344238435,0.0018667048397185138,-0.01968788618395695
lightning,sick,MG_low__US_low,DG,MG,0.023624835718523363,0.002638512420082728,-0.02626334813860609
lightning,sick,MG_low__US_low,LC,LO,0.0108595535499596,0.02872386294614082,-0.03958341649610042
lightning,sick,MG_low__US_low,MR,SH,0.03294455719239742,0.007412320695584729,-0.040356877887982145
lightning,sick,MG_low__US_low,LH,MB,0.00790089355308915,0.03960476306070415,-0.0475056566137933
lightning,tree,MG_high__US_high,DG,DP,0.8758151473901932,0.9999775066957208,1.875792654085914
lightning,tree,MG_high__US_high,DG,SR,0.871767112901539,0.9971815204076533,1.8689486333091923
lightning,tree,MG_high__US_high,DG,WH,0.8567531059447355,0.9999947392553443,1.8567478452000798
lightning,tree,MG_high__US_high,SG,WH,0.8494842378246643,0.9963132944403725,1.8457975322650368
lightning,tree,MG_high__US_high,DG,DR,0.8364851296019988,0.9879730176032637,1.8244581472052626
lightning,tree,MG_high__US_low,DO,SG,0.5138595527649119,0.04807561592656828,0.4657839368383436
lightning,tree,MG_high__US_low,MH,SG,0.43936675336299613,0.01457953329536027,0.42478722006763586
lightning,tree,MG_high__US_low,MY,SR,0.428737528453613,0.010562569937011768,0.41817495851660125
lightning,tree,MG_high__US_low,LH,SR,0.4284812124512393,0.016564456254908544,0.4119167561963308
lightning,tree,MG_high__US_low,DR,SH,0.44135167147542953,0.04785005208276227,0.39350161939266726
lightning,tree,MG_low__US_high,DP,WH,0.023786499280971096,0.951748238091541,0.9279617388105699
lightning,tree,MG_low__US_high,DR,WH,0.0532909004894751,0.9523793847004365,0.8990884842109614
lightning,tree,MG_low__US_high,SR,WH,0.05704689410704478,0.8925482068237705,0.8355013127167257
lightning,tree,MG_low__US_high,MC,SY,0.003538606031305458,0.75050804640581,0.7469694403745046
lightning,tree,MG_low__US_high,MO,SY,0.02877079604370053,0.7383280693218557,0.7095572732781552
lightning,tree,MG_low__US_low,LH,MY,7.161722465189868e-4,0.022352172121375524,-0.02306834436789451
lightning,tree,MG_low__US_low,LC,LO,0.005289087661922043,0.03629080833674747,-0.041579895998669514
lightning,tree,MG_low__US_low,SB,SO,0.047888264430271,0.005044819369608211,-0.05293308379987921
lightning,tree,MG_low__US_low,MP,MR,0.00907643251136303,0.04680153935419651,-0.05587797186555954
lightning,tree,MG_low__US_low,LR,SP,0.042519117150574104,0.01431003796597169,-0.05682915511654579
mango,peace,MG_high__US_high,A3,SO,0.7584965690774652,0.9384657325645458,1.696962301642011
mango,peace,MG_high__US_high,SO,WH,0.7389243626830715,0.9557424761136457,1.6946668387967172
mango,peace,MG_high__US_high,DY,WH,0.7097303040834859,0.8451656144549617,1.5548959185384477
mango,peace,MG_high__US_high,SY,WH,0.8062969101279585,0.7395491562597114,1.5458460663876699
mango,peace,MG_high__US_high,A3,DY,0.7334199407298805,0.8001499059212145,1.533569846651095
mango,peace,MG_high__US_low,A3,DB,0.6090673624456231,0.02890691679884383,0.5801604456467793
mango,peace,MG_high__US_low,DB,WH,0.580444902227075,0.11744919262149667,0.46299570960557834
mango,peace,MG_high__US_low,A3,DC,0.5266120773818364,0.06947631762999507,0.4571357597518413
mango,peace,MG_high__US_low,A3,MP,0.5662186575445454,0.11555795732277424,0.4506607002217711
mango,peace,MG_high__US_low,A3,LG,0.5313996204942149,0.08567441211639698,0.44572520837781787
mango,peace,MG_low__US_high,A1,SB,0.011167533248291228,0.8753967685552813,0.86422923530699
mango,peace,MG_low__US_high,A1,LB,0.07673384357188162,0.8977449783142346,0.821011134742353
mango,peace,MG_low__US_high,MG,SO,0.06301284570068022,0.853384112048047,0.7903712663473668
mango,peace,MG_low__US_high,A1,SC,0.002704461127335245,0.7691168047494434,0.7664123436221082
mango,peace,MG_low__US_high,DB,SR,5.264476633979331e-4,0.7650910830662163,0.7645646354028184
mango,peace,MG_low__US_low,DR,MR,0.03769466953215478,5.672598453838607e-4,-0.03826192937753864
mango,peace,MG_low__US_low,MB,MC,0.029323693602399725,0.013755287517238257,-0.04307898111963798
mango,peace,MG_low__US_low,A1,LR,0.027543105365698706,0.015824260117205835,-0.04336736548290454
mango,peace,MG_low__US_low,DC,MP,0.005667627292218258,0.04621208540860122,-0.05187971270081948
mango,peace,MG_low__US_low,LC,SC,0.05180799281737736,0.0028628618871517353,-0.05467085470452909
mango,peach,MG_high__US_high,LR,SY,0.49427812761946793,0.5931388529405948,1.0874169805600626
mango,peach,MG_high__US_low,DR,SO,0.47150665396591407,0.052136255103611084,0.419370398862303
mango,peach,MG_high__US_low,DR,SH,0.4178361761347196,0.012743846749820431,0.40509232938489914
mango,peach,MG_high__US_low,SO,SR,0.4331712002378292,0.035704687357764664,0.3974665128800645
mango,peach,MG_high__US_low,DR,SY,0.5015713066704084,0.12686414443362626,0.37470716223678213
mango,peach,MG_high__US_low,SR,SY,0.4625259719204049,0.10561421414882988,0.356911757771575
mango,peach,MG_low__US_high,DR,LR,0.007699210859022809,0.5840580873144758,0.576358876455453
mango,peach,MG_low__US_low,MH,SG,0.018218078218477318,0.00594464790205157,-0.024162726120528888
mango,peach,MG_low__US_low,LG,MP,0.015446857690810667,0.009127415275787643,-0.02457427296659831
mango,peach,MG_low__US_low,DG,SG,0.009966497788006734,0.018107010232389253,-0.028073508020395987
mango,peach,MG_low__US_low,MC,MP,0.020322351257856752,0.012562341057913429,-0.03288469231577018
mango,peach,MG_low__US_low,MY,SC,7.505878852998027e-4,0.03232259080992428,-0.03307317869522408
mango,sad,MG_high__US_high,BK,SY,0.9254553306534228,0.993228143149723,1.9186834738031457
mango,sad,MG_high__US_high,BK,SG,0.9367043207721948,0.9813080320821628,1.9180123528543576
mango,sad,MG_high__US_high,BK,SO,0.9057364932441692,0.999968518147127,1.9057050113912961
mango,sad,MG_high__US_high,BK,SH,0.9123379343724654,0.9831719142860913,1.8955098486585567
mango,sad,MG_high__US_high,A1,SG,0.9082363683868575,0.9832323670005816,1.891468735387439
mango,sad,MG_high__US_low,DG,SP,0.6144544152501508,0.07051807220851147,0.5439363430416393
mango,sad,MG_high__US_low,MO,SY,0.6104966664739728,0.10443949752253734,0.5060571689514355
mango,sad,MG_high__US_low,DG,DR,0.5537097451357678,0.05727438957606035,0.4964353555597074
mango,sad,MG_high__US_low,MP,SC,0.4893838682158176,0.010260012440489463,0.4791238557753281
mango,sad,MG_high__US_low,MG,SP,0.5831600046086494,0.11014136026656507,0.4730186443420843
mango,sad,MG_low__US_high,DG,SO,0.02804609279929199,0.9102655367336037,0.8822194439343116
mango,sad,MG_low__US_high,DB,LR,0.017925024595325523,0.8807769915582111,0.8628519669628856
mango,sad,MG_low__US_high,SH,SO,0.006310671524341505,0.8621528343746341,0.8558421628502926
mango,sad,MG_low__US_high,DB,LO,0.028130636720676394,0.8834463271647508,0.8553156904440744
mango,sad,MG_low__US_high,MG,SO,0.07593939353774481,0.9227018754380938,0.846762481900349
mango,sad,MG_low__US_low,DO,WH,0.0036412398966285675,0.042099468580104604,-0.04574070847673317
mango,sad,MG_low__US_low,DO,DR,0.007024687305161981,0.04072115208251148,-0.04774583938767346
mango,sad,MG_low__US_low,LB,MC,0.0301469183953742,0.030646964354696882,-0.06079388275007108
mango,sad,MG_low__US_low,LC,SC,0.021368753524981854,0.04263926580478827,-0.06400801932977013
mango,sad,MG_low__US_low,DG,MG,0.04680587194409558,0.02598541806045751,-0.07279129000455309
mango,safety,MG_high__US_high,SB,SO,0.5181505626187553,0.884304161613952,1.4024547242327072
mango,safety,MG_high__US_high,SO,WH,0.520637918818518,0.8548593657811132,1.3754972845996312
mango,safety,MG_high__US_high,A3,SO,0.5442153467040503,0.7904603718054262,1.3346757185094764
mango,safety,MG_high__US_high,A1,SO,0.5473194109842998,0.7595689958687193,1.306888406853019
mango,safety,MG_high__US_high,MB,SO,0.426639437875892,0.8478663129328707,1.2745057508087627
mango,safety,MG_high__US_low,A3,DG,0.5318328720469916,0.009778889381141909,0.5220539826658497
mango,safety,MG_high__US_low,A3,MG,0.5206839890097559,0.001244437315840008,0.5194395516939159
mango,safety,MG_high__US_low,SR,SY,0.48177573532458906,0.026122620746836578,0.4556531145777525
mango,safety,MG_high__US_low,BK,SY,0.5790199401802616,0.14272817697495133,0.43629176320531027
mango,safety,MG_high__US_low,BK,DH,0.439478707416628,0.011143941124862167,0.4283347662917658
mango,safety,MG_low__US_high,DG,SO,0.011840278247874314,0.7360085137939394,0.724168235546065
mango,safety,MG_low__US_high,DC,MO,0.03850241564602813,0.754534500197664,0.7160320845516359
mango,safety,MG_low__US_high,LC,MO,0.04516495199258047,0.7601305930370847,0.7149656410445042
mango,safety,MG_low__US_high,MG,SO,0.029338474659919456,0.7387091518648843,0.7093706772049648
mango,safety,MG_low__US_high,LB,MO,0.08023287682128505,0.7786533184762021,0.6984204416549171
mango,safety,MG_low__US_low,DB,MB,2.564307119374276e-4,0.006907690992931537,-0.007164121704868964
mango,safety,MG_low__US_low,DG,MG,0.01733221383444894,0.0076753681930047946,-0.025007582027453734
mango,safety,MG_low__US_low,DH,MH,0.005046867841754121,0.030229818081110027,-0.03527668592286415
mango,safety,MG_low__US_low,DC,LC,0.0068156379297914516,0.03484361057587071,-0.04165924850566216
mango,safety,MG_low__US_low,MP,SP,0.015278865474066095,0.030899542967121718,-0.04617840844118781
